order_id,order_date,supplier_name,supplier_city,destination_city,product_category,transport_mode,distance_km,promised_delivery_days,actual_delivery_days,delay_days,shipment_cost_inr,quantity_units,disruption_cause,disruption_label
ORD00001,2022-10-17,ONGC Supplies,Kolkata,Chennai,Agricultural Goods,Road,619,4,14,10,48034.72,3466,Heavy Rainfall,1
ORD00002,2021-02-02,BHEL Components,Jaipur,Surat,Textiles,Road,308,3,13,10,359429.71,4474,Political Unrest,1
ORD00003,2022-03-06,Steel Authority India,Nagpur,Bhopal,Pharmaceuticals,Road+Rail,226,6,6,0,350579.0,2797,None,0
ORD00004,2021-10-12,Wipro Procurement,Delhi,Ahmedabad,Industrial Machinery,Rail,596,5,11,6,303844.39,365,Accident,1
ORD00005,2023-01-18,NTPC Materials,Jaipur,Bangalore,Industrial Machinery,Road,2774,10,8,0,290789.31,579,None,0
ORD00006,2021-02-16,HCL Vendors,Indore,Kolkata,FMCG,Rail,613,13,18,5,229438.1,2998,None,0
ORD00007,2021-06-16,NTPC Materials,Kanpur,Surat,Pharmaceuticals,Air,492,8,19,11,269399.24,2015,Political Unrest,1
ORD00008,2021-06-17,Coal India Suppliers,Kolkata,Kanpur,Electronics,Road+Rail,1528,10,30,20,118378.8,272,Heavy Rainfall,1
ORD00009,2023-04-05,Mahindra Parts Ltd,Kolkata,Surat,Chemical Compounds,Road+Rail,1488,8,13,5,200837.79,3768,None,0
ORD00010,2021-05-27,HCL Vendors,Jaipur,Bangalore,IT Hardware,Rail,2594,7,27,20,202703.25,1806,Political Unrest,1
ORD00011,2021-05-22,ONGC Supplies,Indore,Delhi,Pharmaceuticals,Road+Rail,826,11,15,4,397079.29,3468,None,0
ORD00012,2022-09-03,BHEL Components,Ahmedabad,Lucknow,Electronics,Road+Rail,1229,4,6,2,341740.29,948,None,0
ORD00013,2022-11-30,Larsen & Toubro Supply,Bangalore,Ahmedabad,Electronics,Air,847,11,17,6,477138.88,2167,Accident,1
ORD00014,2023-09-23,Coal India Suppliers,Indore,Surat,Agricultural Goods,Rail,1422,11,9,0,306440.25,1262,None,0
ORD00015,2022-01-18,NTPC Materials,Bhopal,Jaipur,Industrial Machinery,Rail,202,15,19,4,246859.83,926,None,0
ORD00016,2023-08-10,Reliance Logistics,Kolkata,Surat,Chemical Compounds,Air,522,8,12,4,408931.51,4373,None,0
ORD00017,2023-02-24,Coal India Suppliers,Chennai,Hyderabad,IT Hardware,Rail,2361,5,7,2,214453.28,1745,None,0
ORD00018,2023-08-10,Larsen & Toubro Supply,Surat,Kanpur,Agricultural Goods,Rail,1729,11,26,15,228485.64,2040,Heavy Rainfall,1
