event_id,event_date,affected_city,disruption_type,severity_level,duration_days,delay_caused_days,estimated_cost_impact_inr,transport_mode_affected,disruption_occurred
EVT00001,2022-05-27,Nagpur,Cyclone,Critical,17,24,2542762.06,Rail,1
EVT00002,2021-04-04,Surat,Strike,Low,14,14,3723838.23,Air,1
EVT00003,2021-06-20,Indore,Heatwave,Critical,17,22,3973089.11,Rail,1
EVT00004,2022-12-05,Surat,Pandemic,Critical,8,4,4038566.12,All,1
EVT00005,2023-06-21,Chennai,Infrastructure Failure,Low,17,3,1273962.69,Road+Rail,1
EVT00006,2021-03-18,Jaipur,Fuel Shortage,Critical,10,8,1829629.87,Air,1
EVT00007,2021-06-20,Kanpur,Fuel Shortage,Critical,18,7,4783280.1,All,1
EVT00008,2022-11-25,Bangalore,Fuel Shortage,Critical,15,25,3559907.48,Road+Rail,1
EVT00009,2023-07-16,Hyderabad,Infrastructure Failure,Low,7,12,1636916.61,All,1
EVT00010,2024-02-22,Mumbai,Infrastructure Failure,High,7,11,1015330.85,Air,1
EVT00011,2023-10-13,Lucknow,Heavy Snowfall,Critical,10,22,3814608.67,All,1
EVT00012,2023-09-22,Lucknow,Heatwave,Critical,2,6,1564417.22,Road,1
EVT00013,2021-11-25,Bangalore,Political Unrest,High,17,6,3081030.72,Rail,1
EVT00014,2023-10-03,Kanpur,Flood,Medium,9,9,200107.44,Road,1
EVT00015,2023-11-07,Lucknow,Pandemic,Critical,17,5,1659481.96,All,1
EVT00016,2023-03-11,Bhopal,Fuel Shortage,Critical,16,4,3867308.11,Air,1
EVT00017,2024-03-22,Bhopal,Strike,Critical,19,23,2002912.15,Road,1
EVT00018,2021-07-01,Surat,Heavy Snowfall,High,4,3,65337.44,Road,1
EVT00019,2023-12-30,Surat,Political Unrest,Medium,12,14,3163906.16,Air,1
EVT00020,2021-02-09,Indore,Heavy Snowfall,Low,16,17,3092480.69,All,1
EVT00021,2021-10-05,Lucknow,Strike,Low,21,19,2399127.85,Air,1
EVT00022,2021-10-31,Bangalore,Strike,Critical,5,20,4086670.26,Road+Rail,1
EVT00023,2022-12-04,Nagpur,None,Low,0,0,8962.41,Road+Rail,0
EVT00024,2023-09-03,Indore,Heatwave,Critical,10,2,4566154.72,Road,1
EVT00025,2023-06-29,Mumbai,Road Accident,Medium,6,5,3536815.15,Air,1
EVT00026,2024-01-09,Nagpur,Heavy Snowfall,Critical,5,6,3580681.25,All,1
EVT00027,2022-10-18,Lucknow,None,Low,1,0,1028.01,Road,0
EVT00028,2022-11-22,Jaipur,Pandemic,High,12,10,301602.99,All,1
EVT00029,2023-03-19,Mumbai,Fuel Shortage,High,20,25,2749721.58,Air,1
EVT00030,2021-02-19,Nagpur,Infrastructure Failure,High,5,13,3497192.99,All,1
EVT00031,2021-12-21,Ahmedabad,Strike,Critical,13,20,2288538.71,Road+Rail,1
EVT00032,2023-10-02,Bhopal,Strike,Critical,11,8,3032031.05,Road,1
EVT00033,2021-02-26,Delhi,Heatwave,Critical,16,20,2705433.97,Air,1
EVT00034,2022-09-19,Hyderabad,Political Unrest,Low,21,2,2433870.03,Rail,1
EVT00035,2021-05-06,Pune,Cyclone,Critical,8,8,4892476.22,All,1
EVT00036,2021-06-05,Hyderabad,Strike,High,7,2,4316963.11,Road,1
EVT00037,2022-04-18,Kolkata,Strike,High,18,10,2412829.37,Rail,1
EVT00038,2021-09-25,Bangalore,Pandemic,Medium,11,23,767952.02,Road,1
EVT00039,2022-08-18,Lucknow,Cyclone,High,1,10,626417.56,All,1
EVT00040,2023-12-03,Ahmedabad,Flood,High,9,2,2674062.19,Road,1
EVT00041,2022-01-03,Pune,Pandemic,Medium,15,21,4853613.71,All,1
EVT00042,2023-03-12,Bhopal,Road Accident,Medium,11,20,194190.93,All,1
EVT00043,2022-09-03,Bangalore,Road Accident,Low,10,19,1808889.43,All,1
EVT00044,2024-04-10,Bangalore,Strike,Medium,1,9,3906425.62,Road,1
EVT00045,2023-04-15,Indore,Cyclone,Critical,21,23,2974530.29,All,1
EVT00046,2022-09-24,Hyderabad,Pandemic,High,3,11,2584978.71,Road+Rail,1
EVT00047,2021-08-13,Mumbai,Political Unrest,Medium,11,9,1397449.23,Road,1
EVT00048,2023-04-09,Mumbai,Flood,High,7,18,959242.15,All,1
EVT00049,2023-08-21,Jaipur,Political Unrest,Critical,20,6,2495690.17,Road,1
EVT00050,2021-01-16,Lucknow,Heatwave,Medium,12,8,2352367.74,All,1
EVT00051,2023-06-17,Kolkata,Fuel Shortage,High,3,21,968584.67,Road+Rail,1
EVT00052,2021-04-17,Surat,Fuel Shortage,Medium,10,7,1801221.06,Road,1
EVT00053,2023-07-07,Delhi,Strike,Low,6,23,1672326.37,Rail,1
EVT00054,2023-03-11,Ahmedabad,Heavy Snowfall,Medium,18,22,2265815.73,Rail,1
EVT00055,2022-09-01,Nagpur,Strike,Critical,5,23,3724797.6,Road,1
EVT00056,2022-12-25,Bangalore,Flood,Critical,12,9,2241456.14,Road+Rail,1
EVT00057,2023-03-15,Chennai,Heatwave,Critical,4,5,1062773.76,Air,1
EVT00058,2021-04-08,Kolkata,Strike,Medium,13,15,1754328.02,Rail,1
EVT00059,2022-04-09,Indore,Infrastructure Failure,Critical,18,8,1868104.7,Road+Rail,1
EVT00060,2023-01-12,Kolkata,Road Accident,Medium,12,25,1889120.28,Air,1
EVT00061,2022-01-13,Jaipur,Flood,Critical,15,2,3555204.76,Road,1
EVT00062,2022-05-04,Surat,Cyclone,High,10,14,1116152.48,Air,1
EVT00063,2024-02-27,Nagpur,Strike,High,8,14,825143.31,Rail,1
EVT00064,2022-10-19,Surat,Heatwave,High,3,5,1398722.09,Rail,1
EVT00065,2023-09-16,Bangalore,Flood,High,12,4,549560.83,Rail,1
EVT00066,2023-12-20,Kolkata,Political Unrest,Critical,13,3,414783.0,Rail,1
EVT00067,2023-01-07,Indore,Fuel Shortage,High,12,15,2492036.43,Air,1
EVT00068,2021-02-21,Surat,Road Accident,Critical,12,20,3358685.93,All,1
EVT00069,2024-01-22,Mumbai,Infrastructure Failure,Low,3,18,612832.46,Road,1
EVT00070,2024-03-16,Indore,Heavy Snowfall,Low,12,11,896832.12,All,1
EVT00071,2022-04-14,Jaipur,Flood,Medium,4,19,107713.19,Road,1
EVT00072,2021-03-24,Bhopal,Fuel Shortage,Critical,16,18,2959018.82,Road,1
EVT00073,2024-02-22,Bangalore,Pandemic,High,14,16,1254794.57,Rail,1
EVT00074,2023-07-01,Kanpur,Road Accident,Medium,2,7,231619.93,Road,1
EVT00075,2023-05-09,Kolkata,Cyclone,Critical,21,2,566081.25,Rail,1
EVT00076,2021-11-12,Ahmedabad,Road Accident,High,5,3,3512186.07,Road+Rail,1
EVT00077,2024-02-08,Chennai,None,Low,1,0,4415.72,Road,0
EVT00078,2021-04-28,Kanpur,Heavy Snowfall,Low,3,18,3535940.16,Rail,1
EVT00079,2021-12-13,Kanpur,Heavy Snowfall,High,3,7,803861.18,All,1
EVT00080,2022-03-18,Jaipur,Flood,Medium,8,7,3127853.15,Rail,1
EVT00081,2022-08-09,Chennai,Heatwave,Medium,14,5,4355093.82,Air,1
EVT00082,2021-01-22,Nagpur,Flood,Low,16,6,1431377.74,Air,1
EVT00083,2021-07-24,Kanpur,Political Unrest,High,16,7,1232195.13,Rail,1
EVT00084,2022-03-12,Ahmedabad,Heatwave,Low,15,24,2160082.46,All,1
EVT00085,2021-02-06,Indore,None,Low,1,0,7945.41,Road,0
EVT00086,2022-12-01,Indore,Road Accident,High,21,18,1596110.43,Air,1
EVT00087,2023-10-17,Nagpur,Pandemic,Low,1,15,233028.86,Air,1
EVT00088,2023-10-12,Lucknow,Fuel Shortage,Critical,18,16,2433779.3,All,1
EVT00089,2021-09-03,Pune,Strike,High,20,10,295391.17,All,1
EVT00090,2022-01-31,Bhopal,Fuel Shortage,Critical,13,21,1694993.1,Road+Rail,1
EVT00091,2023-08-26,Kolkata,Heatwave,Low,15,18,863600.4,Road+Rail,1
EVT00092,2021-09-22,Nagpur,Pandemic,High,15,4,3192654.49,All,1
EVT00093,2021-12-31,Kanpur,None,Low,0,0,8604.31,Rail,0
EVT00094,2021-06-02,Kolkata,Cyclone,Critical,2,6,2273033.75,Road+Rail,1
EVT00095,2022-08-04,Kanpur,Heatwave,Medium,6,6,4935965.68,Rail,1
EVT00096,2022-11-02,Bangalore,Political Unrest,Critical,21,20,4113591.99,Road+Rail,1
EVT00097,2022-02-05,Bhopal,None,Low,0,0,3792.29,All,0
EVT00098,2021-07-30,Ahmedabad,Infrastructure Failure,Critical,19,7,1995977.3,Road,1
EVT00099,2022-01-08,Delhi,Political Unrest,High,20,9,2825579.11,All,1
